batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,coverage
CTRL,CTRL-T2A,WR,2021,0,m_panel_ppr12,2014-2024,11,2012,55,197,0.712831374827708,4.3989670642611225,-0.3546692269392525,0.4026407403385952,0.3741642579188136,4.250056788732576,-1.7593123001888935,0.0345781033553639,3.690909090909091,
CTRL,CTRL-T2A,WR,2022,0,m_panel_ppr12,2014-2024,11,2012,48,193,0.7246509488816966,4.418278045670636,-0.2192341591059319,0.7394903251291721,0.7259378290385182,3.5505151136824336,-2.676326109189564,0.4035235333551509,2.4166666666666665,
CTRL,CTRL-T2A,WR,2023,0,m_panel_ppr12,2014-2024,11,2012,62,188,0.7780306999770846,4.344420069586422,-0.5342253891436312,0.5813575754984195,0.5891326347302022,4.284955082487724,-3.731426807907355,0.1790923656223771,3.0806451612903225,
CTRL,CTRL-T2A,WR,2024,0,m_panel_ppr12,2014-2024,11,2012,58,190,0.7958854674754652,4.048605139782749,0.0743838837410142,0.4507436517136496,0.4669522343924731,3.365489606835395,-1.7628254439378328,0.1704752972384039,2.8793103448275863,
VERIFY,VD1,QB,2013,0,m_panel_ppr12,2013-2024,12,2002,8,72,0.7565077413301794,3.3912467136966056,-0.4713332295887035,,,,,,,
VERIFY,VD1,QB,2014,0,m_panel_ppr12,2013-2024,12,2002,9,61,0.7806532815301666,3.5288159070965364,-0.3079163168324386,,,,,,,
VERIFY,VD1,QB,2015,0,m_panel_ppr12,2013-2024,12,2002,10,68,0.6497507635025148,3.669148936556577,-0.5837563814852708,0.5272727272727272,0.2828155480990649,4.386174363945681,-3.8635386464289008,0.3027495893961478,2.2,
VERIFY,VD1,QB,2016,0,m_panel_ppr12,2013-2024,12,2002,12,67,0.7667322089110059,3.3213336755672347,-0.0275607076609196,0.1818181818181818,0.0789103530322997,3.454220353426093,-3.454220353426093,0.0504272905659299,0.9166666666666666,
VERIFY,VD1,QB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,73,0.7274012600340554,3.3114771318828176,-0.3154312903542509,-0.1098901098901098,-0.263777281396214,2.945279731146381,-1.9998846144478328,0.0963558245671183,1.1538461538461535,
VERIFY,VD1,QB,2018,0,m_panel_ppr12,2013-2024,12,2002,18,65,0.6480241071313335,3.536623994414518,-0.0741234173305318,-0.1145510835913312,-0.0839069884424221,4.509954166442535,-3.277456366479352,0.248665723184241,3.1666666666666665,
