column,target,n,spearman_rho,p_raw,abs_rho,rank,position
chronic_missed_share,abs_resid,313,-0.23081277847106538,3.740304225840329e-05,0.23081277847106538,23,QB
passyds_1,abs_resid,313,0.22840031047583317,4.5290773516510916e-05,0.22840031047583317,24,QB
att_1,abs_resid,313,0.22760649096486912,4.821265489436174e-05,0.22760649096486912,25,QB
gshare_1,abs_resid,313,0.22568835313388275,5.602390817484525e-05,0.22568835313388275,26,QB
games_1,abs_resid,313,0.22568835313388275,5.602390817484525e-05,0.22568835313388275,27,QB
missed_wks_1,abs_resid,313,-0.22568835313388275,5.602390817484525e-05,0.22568835313388275,28,QB
gshare_max3,abs_resid,313,0.2230291211273125,6.884321623202628e-05,0.2230291211273125,29,QB
evidence,abs_resid,313,0.2223026575930543,7.279851874143234e-05,0.2223026575930543,30,QB
passtd_1,abs_resid,313,0.22208310816202181,7.403534771380894e-05,0.22208310816202181,31,QB
rushtd_1,abs_resid,313,0.22127089915346046,7.878496899997447e-05,0.22127089915346046,32,QB
rostered_absent_share_1,abs_resid,313,-0.14706423752472944,0.009171235779769426,0.14706423752472944,33,QB
miss1_x_endgap,abs_resid,313,-0.142581334327803,0.011558512418089504,0.142581334327803,34,QB
proj_ypa,abs_resid,313,0.12934001072548332,0.022095349624495195,0.12934001072548332,35,QB
endgap_share_1,abs_resid,313,-0.12755490298355765,0.024015942763018234,0.12755490298355765,36,QB
late4_share_1,abs_resid,313,0.12652838178517975,0.025184331740118752,0.12652838178517975,37,QB
present_1,abs_resid,313,0.1260887965584024,0.02569945068223963,0.1260887965584024,38,QB
recyds_1,abs_resid,313,0.11314163316427132,0.0454897067285312,0.11314163316427132,39,QB
NOISE_CONTROL,abs_resid,313,0.10196944288104982,0.07162344537150801,0.10196944288104982,40,QB
inj_missed_share_1,abs_resid,313,0.09490111125001516,0.09373051399033348,0.09490111125001516,41,QB
inj_out_wks_1,abs_resid,313,0.09490111125001516,0.09373051399033348,0.09490111125001516,42,QB
proj_td_per_att,abs_resid,313,0.08479322388364911,0.1344348571164216,0.08479322388364911,43,QB
age,abs_resid,313,-0.07303681494478442,0.19750064710745327,0.07303681494478442,44,QB
played_thru_1,abs_resid,313,0.07016502149642645,0.21575108214123187,0.07016502149642645,45,QB
rec_1,abs_resid,313,0.06381060275782265,0.26035373877641715,0.06381060275782265,46,QB
average_pick,abs_resid,83,0.06165796402866978,0.5797574415747835,0.06165796402866978,47,QB
offroster_share_1,abs_resid,313,-0.0546213595866522,0.3354454570004418,0.0546213595866522,48,QB
tgt_1,abs_resid,313,0.052896657580712804,0.35095096087028543,0.052896657580712804,49,QB
miss1_x_resolved,abs_resid,313,-0.042719437709730725,0.45138741809945215,0.042719437709730725,50,QB
rectd_1,abs_resid,313,0.02463068333909752,0.6642276840179528,0.02463068333909752,51,QB
