factor,class,position,raw_rho_pooled,raw_n,partial_rho_pooled,partial_n,raw_rho_matched,priorpoints_rho_matched,matched_n,beats_aggregate_delta,per_season,n_seasons_pos,n_seasons_neg,n_seasons_zero,ledger_row
injury_burden,EXOGENOUS,WR,0.02149042546526197,978,0.04912305032097989,938,0.011105613032408684,0.6721367735807422,938,-0.6610311605483336,"{2013: 0.0855, 2014: 0.0699, 2015: -0.0857, 2016: -0.1289, 2017: 0.0455, 2018: 0.1128, 2019: 0.0767}",5,2,0,"T0-6-adjacent (leading, C3-C)"
practice_severity,EXOGENOUS,WR,-0.0842239609362973,978,0.05145272759486365,938,-0.0746489949024925,0.6721367735807422,938,-0.7467857684832346,"{2013: 0.0546, 2014: -0.0787, 2015: -0.2032, 2016: -0.1212, 2017: -0.1622, 2018: -0.0037, 2019: -0.1129}",1,6,0,C3-D
depth_end_rank,EXOGENOUS,WR,-0.41188314558699146,946,-0.002951323558138522,928,-0.39730884741547434,0.6921094968525313,928,-1.0894183442680057,"{2013: -0.4775, 2014: -0.3983, 2015: -0.4954, 2016: -0.3899, 2017: -0.4519, 2018: -0.297, 2019: -0.3898}",0,7,0,C3-E
combine_z,EXOGENOUS,WR,-0.029784141749969104,896,-0.0010904497262271384,710,-0.048333242053587425,0.6792876090956854,710,-0.7276208511492729,"{2013: -0.0156, 2014: -0.173, 2015: -0.0399, 2016: -0.0066, 2017: -0.094, 2018: 0.0495, 2019: 0.0727}",2,5,0,N34/C3-F
neutral_pass_rate,EXOGENOUS,WR,0.02821560335060398,1505,0.01043120894426585,1069,0.0465700527646865,0.6768837048929908,1069,-0.6303136521283043,"{2013: 0.1035, 2014: 0.0835, 2015: 0.0344, 2016: 0.0826, 2017: 0.0112, 2018: -0.0343, 2019: -0.0226}",5,2,0,N20/C3-G
yoe_rate,CONSTITUENT,WR,0.24694072007850765,1106,0.0436308914395637,1052,0.25553317780219753,0.6695520096085297,1052,-0.41401883180633214,"{2013: 0.1066, 2014: 0.3413, 2015: 0.2959, 2016: 0.2178, 2017: 0.2713, 2018: 0.229, 2019: 0.2801}",7,0,0,T1-18-adjacent/C3-H
wopr,CONSTITUENT,WR,0.6675960551084286,1069,0.1868898368738964,1069,0.6675960551084286,0.6768837048929908,1069,-0.009287649784562202,"{2013: 0.6564, 2014: 0.6707, 2015: 0.6727, 2016: 0.6757, 2017: 0.6418, 2018: 0.7186, 2019: 0.6503}",7,0,0,T1-15/C2
snap_share,CONSTITUENT,WR,0.6521569554117556,829,0.1326569164170307,829,0.6521569554117556,0.6881944490755731,829,-0.03603749366381759,"{2013: None, 2014: 0.6923, 2015: 0.6653, 2016: 0.6482, 2017: 0.6157, 2018: 0.6786, 2019: 0.6342}",6,0,0,T0-9/N18/C1-F1
redzone_share,CONSTITUENT,WR,0.5540793504284777,905,0.019947529659538388,905,0.5540793504284777,0.6464830585494286,905,-0.09240370812095089,"{2013: 0.4683, 2014: 0.5517, 2015: 0.5993, 2016: 0.5366, 2017: 0.5564, 2018: 0.5616, 2019: 0.5983}",7,0,0,T0-10/C1-F2
yac_per_rec,CONSTITUENT,WR,0.11392843628284247,904,-0.006006933716892821,904,0.11392843628284247,0.6380500368822698,904,-0.5241216005994274,"{2013: 0.0463, 2014: 0.1471, 2015: -0.0126, 2016: 0.1888, 2017: 0.1414, 2018: 0.1619, 2019: 0.1416}",6,1,0,N16/C2
late_season_trend,CONSTITUENT,WR,-0.01705285747601872,938,0.008007689104481271,938,-0.01705285747601872,0.6851900066458101,938,-0.7022428641218288,"{2013: 0.0294, 2014: -0.1028, 2015: 0.0366, 2016: 0.0258, 2017: -0.0882, 2018: -0.0711, 2019: 0.0334}",4,3,0,N19/C2
xfp_diff,CONSTITUENT,WR,0.24691134445524868,1103,0.002377414326786876,1050,0.2445854781161628,0.6687341695544621,1050,-0.42414869143829925,"{2013: 0.1466, 2014: 0.2785, 2015: 0.3067, 2016: 0.2716, 2017: 0.2934, 2018: 0.227, 2019: 0.2376}",7,0,0,T1-18/C1-F3
ngs_separation,EXOGENOUS,WR,-0.02524133022496807,356,-0.09193677776808858,356,-0.02524133022496807,0.6036066718809923,356,-0.6288480021059604,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: 0.026, 2018: -0.0203, 2019: -0.0534}",1,2,0,N5/C1-F4
tprr,CONSTITUENT,WR,-0.33020789361800595,488,0.04563374806849483,469,-0.30212726659687206,0.6853136891967163,469,-0.9874409557935884,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: -0.1748, 2018: -0.4182, 2019: -0.4283}",0,3,0,T1-16/T1-17/N3/C1-F5
implied_team_total,EXOGENOUS,WR,-0.03857502030303246,220,-0.042585549456480354,152,0.06056920866110152,0.6873816674419834,152,-0.6268124587808819,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: None, 2018: None, 2019: -0.0386}",0,1,0,T0-11/N12/C2
tshare_stability,AMBIGUOUS,WR,0.46454471656669,836,0.11005836656810151,809,0.4609613596337737,0.685284726200035,809,-0.22432336656626128,"{2013: 0.3896, 2014: 0.4162, 2015: 0.4879, 2016: 0.5107, 2017: 0.5038, 2018: 0.5004, 2019: 0.4526}",7,0,0,T1-13/C4-I
team_pace,EXOGENOUS,WR,0.015430735614530835,1505,-0.018996209215108886,1069,0.018040173823664626,0.6768837048929908,1069,-0.6588435310693261,"{2013: 0.071, 2014: 0.0344, 2015: 0.0224, 2016: 0.003, 2017: -0.015, 2018: 0.0456, 2019: -0.0841}",5,2,0,T1-21/C4-J
