column,target,n,spearman_rho,p_raw,abs_rho,rank,position
depth_first_share_1,signed_resid,390,-0.22645044703694725,6.287375025766299e-06,0.22645044703694725,28,TE
gshare_max3,signed_resid,390,-0.21716658948565692,1.5137747398980066e-05,0.21716658948565692,29,TE
miss1_x_endgap,signed_resid,390,0.2157724475207164,1.7217268441889826e-05,0.2157724475207164,30,TE
endgap_share_1,signed_resid,390,0.2047741769297359,4.616489002072361e-05,0.2047741769297359,31,TE
played_thru_1,signed_resid,390,-0.20224115608110602,5.7518197516434524e-05,0.20224115608110602,32,TE
ppg_w,signed_resid,354,-0.19817644570974768,0.00017489382628307475,0.19817644570974768,33,TE
present_1,signed_resid,390,-0.16542023985013043,0.0010420533543421449,0.16542023985013043,34,TE
average_pick,signed_resid,58,0.14250553946600658,0.28591663662805306,0.14250553946600658,35,TE
rushtd_1,signed_resid,390,-0.10432148918719132,0.03947574824127583,0.10432148918719132,36,TE
rostered_absent_share_1,signed_resid,390,0.10112105507117049,0.04596779596975926,0.10112105507117049,37,TE
proj_ypr,signed_resid,390,0.09756284570686799,0.0542140745297295,0.09756284570686799,38,TE
passtd_1,signed_resid,390,-0.0857921684401086,0.0906570507001135,0.0857921684401086,39,TE
carries_1,signed_resid,390,-0.0683783388214151,0.1777847485047032,0.0683783388214151,40,TE
wk1_injury_report_flag,signed_resid,390,-0.06815716697165272,0.17919487018346658,0.06815716697165272,41,TE
age,signed_resid,390,0.06595234385247163,0.19370753153364523,0.06595234385247163,42,TE
depth_chart_starter_wk1,signed_resid,390,0.06231302378082618,0.21951187797473037,0.06231302378082618,43,TE
proj_td_per_target,signed_resid,390,-0.019651874696349422,0.6988412968617083,0.019651874696349422,44,TE
att_1,signed_resid,390,0.01446376389123013,0.7758475637966783,0.01446376389123013,45,TE
NOISE_CONTROL,signed_resid,390,-0.013739331404056757,0.7867972403081042,0.013739331404056757,46,TE
n_train_seasons,signed_resid,390,-0.012957474868980424,0.7986621115151997,0.012957474868980424,47,TE
ints_1,signed_resid,390,-0.00985266347530408,0.8462113811093674,0.00985266347530408,48,TE
inj_missed_share_1,signed_resid,390,0.009732045354378323,0.8480711148292306,0.009732045354378323,49,TE
passyds_1,signed_resid,390,0.006941682836152434,0.8913083487179128,0.006941682836152434,50,TE
rushyds_1,signed_resid,390,-0.006552178922215946,0.8973725173560758,0.006552178922215946,51,TE
inj_out_wks_1,signed_resid,390,0.0061184242250171906,0.9041326430096875,0.0061184242250171906,52,TE
miss1_x_resolved,signed_resid,390,0.0018116488023204203,0.9715515627276696,0.0018116488023204203,53,TE
proj_catch_rate,signed_resid,390,-5.5532057567329094e-05,0.9991277925845184,5.5532057567329094e-05,54,TE
proj_apg,signed_resid,0,,,,55,TE
proj_attempts,signed_resid,0,,,,56,TE
proj_pass_yards,signed_resid,0,,,,57,TE
proj_pass_tds,signed_resid,0,,,,58,TE
proj_interceptions,signed_resid,0,,,,59,TE
proj_ypa,signed_resid,0,,,,60,TE
proj_td_per_att,signed_resid,0,,,,61,TE
proj_cpg,signed_resid,0,,,,62,TE
proj_ypc,signed_resid,0,,,,63,TE
proj_games,signed_resid,827,-0.3824917090237102,3.3219662697460905e-30,0.3824917090237102,1,WR
proj_targets,signed_resid,827,-0.3663253485281242,1.1543292005172837e-27,0.3663253485281242,2,WR
proj_points_base,signed_resid,827,-0.36412842962469033,2.4924835687282184e-27,0.36412842962469033,3,WR
proj_points,signed_resid,827,-0.36373134675381114,2.8627233908090485e-27,0.36373134675381114,4,WR
proj_rec_yards,signed_resid,827,-0.36244116688305705,4.483563142797803e-27,0.36244116688305705,5,WR
proj_rec_tds,signed_resid,827,-0.3618675225860475,5.4697790906752916e-27,0.3618675225860475,6,WR
proj_receptions,signed_resid,827,-0.36125683475983533,6.756150195870824e-27,0.36125683475983533,7,WR
gshare_w,signed_resid,758,-0.34858287430306,4.4534478364892913e-23,0.34858287430306,8,WR
proj_fumbles_lost,signed_resid,827,-0.34516237605145866,1.501228172263936e-24,0.34516237605145866,9,WR
