span,variant,position,season,n_train,n_board_vet,n_vet,rho_points,rho_games,mae_games,rho_points_fullvet
2015,ctx,RB,2019,4,35,118,0.37535014005602246,0.1502587146288205,4.154733594274758,0.7022192226377368
2015,ctx,RB,2020,5,45,119,0.41936758893280623,-0.04784467206177251,4.490184345236623,0.6609797102591255
2015,ctx,RB,2021,6,59,118,0.6562043380195903,0.28720466442231224,4.188338428721336,0.5875622874107269
2015,ctx,RB,2022,7,37,123,0.34044570886676145,0.08486558824887376,4.789979438941,0.7092770660789194
2015,ctx,RB,2023,8,52,128,0.383761632374285,0.3048019288594082,4.23403843032612,0.7356836994709525
2015,ctx,RB,2024,9,46,112,0.3823738014090954,0.28488420719000046,3.980556848154001,0.7835857605387695
2015,ctx,WR,2018,3,40,186,0.6535015720871872,0.2702415367557017,3.934951669972867,0.7160249068384064
2015,ctx,WR,2019,4,49,185,0.561938775510204,0.22137419097537686,3.305908238146503,0.7439337353569484
2015,ctx,WR,2020,5,50,190,0.44432172869147657,0.24378225335228695,3.6761607706036377,0.7511911106339215
2015,ctx,WR,2021,6,58,197,0.4090007229362373,0.030997891039706658,4.239883728532958,0.7133241416035495
2015,ctx,WR,2022,7,39,193,0.7110683748162119,0.4726158130145339,3.477452817038728,0.7270712179662567
2015,ctx,WR,2023,8,61,188,0.578114464810766,0.15076458206999213,4.365611582089276,0.7795496343082838
2015,ctx,WR,2024,9,54,190,0.4884407937001765,0.23095597160504436,3.495252058820572,0.7944693137310445
2015,ctx,TE,2018,3,11,89,0.3454545454545455,0.15904855449750882,3.2632095549645204,0.5857424386371657
2015,ctx,TE,2019,4,10,90,0.5757575757575757,-0.07951404970357048,4.364996898783438,0.5834097597316954
2015,ctx,TE,2020,5,16,85,0.30882352941176466,-0.10638569678095326,3.8557160561696318,0.6184537376765163
2015,ctx,TE,2021,6,17,90,0.4338235294117647,0.19790820653456484,3.8325023471207498,0.6739163396893115
2015,ctx,TE,2022,7,12,89,0.27272727272727276,0.25254909728539365,2.7868205731830433,0.7784080712385693
2015,ctx,TE,2023,8,17,89,0.6029411764705883,0.24646777286564986,3.5522416285780563,0.7682228396665082
2015,ctx,TE,2024,9,16,86,0.2913908073641038,0.08631564049737454,3.0338473119932674,0.7360324667337639
2010,ctx,QB,2018,8,19,65,-0.12105263157894736,0.25106760657296817,4.270659346262266,0.6217838496287377
2010,ctx,QB,2019,9,19,72,0.356140350877193,-0.07305636159028805,3.8293592663262817,0.6726000220720502
2010,ctx,QB,2020,10,19,73,0.39649122807017545,-0.031314812510552514,3.8656964574199435,0.7575711107275889
2010,ctx,QB,2021,11,19,73,0.12456140350877193,-0.08873230455949008,3.996104175066526,0.7157759138970117
2010,ctx,QB,2022,12,14,77,0.4153846153846154,0.5108287056107168,2.679871225300595,0.7404347349459723
2010,ctx,QB,2023,13,23,79,0.07509881422924902,-0.02012918088527943,4.587120250328456,0.6064783615404076
2010,ctx,QB,2024,14,21,85,0.43376623376623374,-0.057610789289585684,4.749091073618253,0.7090789945041177
2010,ctx,RB,2018,8,29,120,0.46847290640394085,0.5127104360963666,3.6019028340622787,0.6318922044793273
2010,ctx,RB,2019,9,35,118,0.4126050420168067,0.12706243321611177,3.922094192912102,0.7000851728689665
2010,ctx,RB,2020,10,45,119,0.4154150197628458,-0.12747519421728848,4.514839185973653,0.6591935688347819
