"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"232",10,"Kaytron Allen",WAS,"RB66","7","","","4 out of 5 stars","-29"
"233",10,"Cooper Kupp",SEA,"WR83","11","","","3 out of 5 stars","+57"
"234",10,"Harrison Mevis",LAR,"K13","11","","","2 out of 5 stars","-18"
"235",10,"Aaron Rodgers",PIT,"QB29","9","","","2 out of 5 stars","-58"
"236",10,"Tank Dell",HOU,"WR84","8","","","3 out of 5 stars","-21"
"237",10,"Chimere Dike",TEN,"WR85","9","","","3 out of 5 stars","+31"
"238",10,"Jaydon Blue",DAL,"RB67","14","","","4 out of 5 stars","+10"
"239",10,"Keon Coleman",BUF,"WR86","7","","","4 out of 5 stars","+49"
"240",10,"Harrison Butker",KC,"K14","5","","","5 out of 5 stars","-1"
"241",10,"Cleveland Browns",CLE,"DST16","11","","","5 out of 5 stars","+17"
"242",10,"Chris Boswell",PIT,"K15","9","","","4 out of 5 stars","+28"
"243",10,"Zachariah Branch",ATL,"WR87","11","","","3 out of 5 stars","-32"
"244",10,"Ollie Gordon II",MIA,"RB68","6","","","3 out of 5 stars","+86"
"245",10,"Colby Parkinson",LAR,"TE30","11","","","4 out of 5 stars","-9"
"246",10,"Elic Ayomanor",TEN,"WR88","9","","","3 out of 5 stars","+54"
"247",10,"Brandon Aiyuk",SF,"WR89","8","","","2 out of 5 stars","-48"
"248",10,"Jack Bech",LV,"WR90","13","","","2 out of 5 stars","+44"
"249",10,"Germie Bernard",PIT,"WR91","9","","","3 out of 5 stars","+12"
"250",10,"Evan Engram",DEN,"TE31","10","","","4 out of 5 stars","+59"
"251",10,"Justice Hill",BAL,"RB69","13","","","3 out of 5 stars","-16"
"252",10,"George Holani",SEA,"RB70","11","","","4 out of 5 stars","-7"
"253",10,"Oscar Delp",NO,"TE32","8","","","2 out of 5 stars","-"
"254",10,"Fernando Mendoza",LV,"QB30","13","","","1 out of 5 stars","-97"
"255",10,"Tory Horton",SEA,"WR92","11","","","3 out of 5 stars","+19"
"256",10,"Isaiah Davis",NYJ,"RB71","13","","","3 out of 5 stars","+81"
"257",10,"Demond Claiborne",MIN,"RB72","6","","","4 out of 5 stars","-34"
"258",10,"Tua Tagovailoa",ATL,"QB31","11","","","4 out of 5 stars","-21"
"259",10,"Wil Lutz",DEN,"K16","10","","","1 out of 5 stars","-18"
"260",10,"Jordan James",SF,"RB73","8","","","2 out of 5 stars","-20"
"261",10,"DJ Giddens",IND,"RB74","13","","","4 out of 5 stars","+74"
"262",10,"Christian Kirk",SF,"WR93","8","","","2 out of 5 stars","+32"
"263",10,"Chris Brooks",GB,"RB75","11","","","4 out of 5 stars","+51"
"264",10,"Tyquan Thornton",KC,"WR94","5","","","2 out of 5 stars","-"
"265",10,"Elijah Sarratt",BAL,"WR95","13","","","4 out of 5 stars","+14"
"266",10,"Trey Benson",ARI,"RB76","14","","","2 out of 5 stars","-38"
"267",10,"Greg Dulcich",MIA,"TE33","6","","","5 out of 5 stars","-62"
"268",10,"Eli Stowers",PHI,"TE34","10","","","4 out of 5 stars","-49"
"269",10,"Malik Davis",DAL,"RB77","14","","","4 out of 5 stars","+62"
"270",10,"Atlanta Falcons",ATL,"DST17","11","","","4 out of 5 stars","-6"
"271",10,"Ty Johnson",BUF,"RB78","7","","","2 out of 5 stars","+12"
"272",10,"Devin Neal",NO,"RB79","8","","","3 out of 5 stars","+32"
"273",10,"Malachi Fields",NYG,"WR96","8","","","4 out of 5 stars","-53"
"274",10,"Samaje Perine",CIN,"RB80","6","","","2 out of 5 stars","+48"
"275",10,"Darius Slayton",NYG,"WR97","8","","","4 out of 5 stars","+40"
"276",10,"Devaughn Vele",NO,"WR98","8","","","3 out of 5 stars","+17"
"277",10,"Chris Bell",MIA,"WR99","6","","","3 out of 5 stars","+5"
"278",10,"Kaleb Johnson",PIT,"RB81","9","","","2 out of 5 stars","-34"
"279",10,"Michael Penix Jr.",ATL,"QB32","11","","","4 out of 5 stars","-45"
"280",10,"Marvin Mims Jr.",DEN,"WR100","10","","","2 out of 5 stars","-27"
"281",10,"Will Reichard",MIN,"K17","6","","","2 out of 5 stars","-15"
"282",10,"Kendre Miller",NO,"RB82","8","","","3 out of 5 stars","-31"
"283",10,"LeQuint Allen Jr.",JAC,"RB83","7","","","4 out of 5 stars","+41"
"284",11,"San Francisco 49ers",SF,"DST18","8","","","3 out of 5 stars","-74"
"285",11,"Xavier Legette",CAR,"WR101","5","","","2 out of 5 stars","-"
"286",11,"Mason Taylor",NYJ,"TE35","13","","","4 out of 5 stars","-10"
"287",11,"Theo Johnson",NYG,"TE36","8","","","3 out of 5 stars","-79"
"288",11,"Tyreek Hill",FA,"WR102","-","","","-","-108"
"289",11,"Keenan Allen",LAC,"WR103","7","","","2 out of 5 stars","-3"
"290",11,"Devin Singletary",NYG,"RB84","8","","","4 out of 5 stars","+15"
"291",11,"Deshaun Watson",CLE,"QB33","11","","","4 out of 5 stars","-18"
"292",11,"Hollywood Brown",PHI,"WR104","10","","","4 out of 5 stars","+21"
"293",11,"Kirk Cousins",LV,"QB34","13","","","1 out of 5 stars","-22"
"294",11,"Chris Brazzell II",CAR,"WR105","5","","","2 out of 5 stars","-13"
"295",11,"Jerome Ford",WAS,"RB85","7","","","4 out of 5 stars","-"
"296",11,"Najee Harris",LAC,"RB86","7","","","3 out of 5 stars","+6"
"297",11,"Kaelon Black",SF,"RB87","8","","","2 out of 5 stars","-8"
"298",11,"Shedeur Sanders",CLE,"QB35","11","","","4 out of 5 stars","-52"
