batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,coverage
C3,C3Ck,RB,2023,0,m_panel_ppr12,2015-2024,10,2013,50,128,0.3721968787515005,0.371281162348522,4.1320325498175565,-2.944609520642717,0.3051997246621317,3.14,0.7318887208386473,4.407977541763087,0.1427670599040348,0.92
C3,C3Ck,RB,2024,0,m_panel_ppr12,2015-2024,10,2013,51,112,0.4778388652549953,0.4446698165241206,3.876040515632324,-2.7514328180704086,0.324079656635792,3.07843137254902,0.7825672050241631,4.355072705670133,-0.4108353656181261,0.9215686274509804
C3,C3Ck,WR,2015,0,m_panel_ppr12,2015-2024,10,2013,17,181,0.4142156862745098,0.3480087318460744,4.01244471549805,-3.096566770202552,-0.0479422483939531,3.235294117647059,0.7632735622568206,3.921011141437455,0.492440033269825,0.9411764705882352
C3,C3Ck,WR,2016,0,m_panel_ppr12,2015-2024,10,2013,24,188,0.6930434782608694,0.6774888669996921,2.929237398374854,-1.5695012883513293,0.699392218164798,1.875,0.6872068947422865,4.529830590040523,-0.0773492353820826,1.0
C3,C3Ck,WR,2017,0,m_panel_ppr12,2015-2024,10,2013,32,193,0.3046187683284457,0.2624974954322808,3.904455814445887,-1.8017886963051983,-0.0604800010688025,3.53125,0.7171971205551563,4.280654016893632,0.3850078422722651,0.9375
C3,C3Ck,WR,2018,0,m_panel_ppr12,2015-2024,10,2013,38,186,0.686545933073354,0.6521359311332948,3.9362327551774174,-2.7616660929362875,0.2620542049455071,3.631578947368421,0.7262924113041394,4.225338608223751,-0.0876744123587852,0.9736842105263158
C3,C3Ck,WR,2019,0,m_panel_ppr12,2015-2024,10,2013,50,185,0.5389195678271309,0.5322365663319996,3.241844684393883,-2.200295785213367,0.1883969054236874,2.72,0.744571413972303,4.19762024416263,0.301739125600704,0.96
C3,C3Ck,WR,2020,0,m_panel_ppr12,2015-2024,10,2013,50,190,0.4442256902761105,0.4531380404872538,3.649478188885989,-1.935904505000868,0.2356611001515748,3.06,0.7548946766585898,4.124723010184426,0.2890698566683377,0.98
C3,C3Ck,WR,2021,0,m_panel_ppr12,2015-2024,10,2013,55,197,0.3931167590242517,0.368571771797141,4.258620150316722,-1.7711105422067526,0.0380359136909003,3.690909090909091,0.7120584255246559,4.399541086032768,-0.407549840833186,0.9454545454545454
C3,C3Ck,WR,2022,0,m_panel_ppr12,2015-2024,10,2013,48,193,0.7340624748272845,0.7234371563458202,3.5768444111370488,-2.695479792369452,0.388425524582647,2.4166666666666665,0.7248840554659883,4.4192354884122205,-0.2694432683408314,0.9583333333333334
C3,C3Ck,WR,2023,0,m_panel_ppr12,2015-2024,10,2013,62,188,0.5759685725894417,0.5876910384669314,4.300773829449365,-3.745533559865468,0.18419309755466,3.0806451612903225,0.7790287001513745,4.338755745605332,-0.570419820616742,0.9516129032258064
